"LL","type","mixture","distribution","BIC","sample"
-3521687.76901064,"fixed","diploid","normal",7043385.09067395,"MLG014"
-753593.121195693,"fixed","triploid","normal",1507205.34769672,"MLG014"
-249603.503396647,"fixed","tetraploid","normal",499235.664751288,"MLG014"
-168930.212433735,"fixed","pentaploid","normal",337898.635478129,"MLG014"
-120158.246838276,"fixed","hexaploid","normal",240364.256939877,"MLG014"
1006.05681481776,"fixed_2","diploid","normal",-1993.00832430536,"MLG014"
2763.89271368743,"fixed_2","triploid","normal",-5489.57481671454,"MLG014"
4453.34714896995,"fixed_2","tetraploid","normal",-8849.37838194943,"MLG014"
4304.38898580902,"fixed_2","pentaploid","normal",-8532.35675029742,"MLG014"
3987.58896660067,"fixed_2","hexaploid","normal",-7879.65140655055,"MLG014"
1006.05681481776,"fixed_3","diploid","normal",-2002.56097697044,"MLG014"
2763.84181037769,"fixed_3","triploid","normal",-5508.57831542522,"MLG014"
4305.64782758145,"fixed_3","tetraploid","normal",-8582.63769716765,"MLG014"
4216.9368652346,"fixed_3","pentaploid","normal",-8395.66311980889,"MLG014"
3112.1527489516,"fixed_3","hexaploid","normal",-6176.54223457779,"MLG014"
5022.68456899624,"fixed","diploid","normal-uniform",-10026.2638326623,"MLG014"
5022.68668131919,"fixed","triploid","normal-uniform",-10016.7154046431,"MLG014"
5105.40378212189,"fixed","tetraploid","normal-uniform",-10172.5969535835,"MLG014"
5188.73770521044,"fixed","pentaploid","normal-uniform",-10329.7121470955,"MLG014"
5097.48439867431,"fixed","hexaploid","normal-uniform",-10137.6528813581,"MLG014"
29526.9737324864,"fixed_2","diploid","normal-uniform",-59025.2895069775,"MLG014"
5022.68844727927,"fixed_2","triploid","normal-uniform",-9997.61363123314,"MLG014"
6904.41172502547,"fixed_2","tetraploid","normal-uniform",-13741.9548813954,"MLG014"
12889.5999486543,"fixed_2","pentaploid","normal-uniform",-25693.2260233228,"MLG014"
12558.9318999847,"fixed_2","hexaploid","normal-uniform",-25012.7846206535,"MLG014"
1580.21683598,"fixed_3","diploid","normal-uniform",-3150.88101929492,"MLG014"
3097.14275942046,"fixed_3","triploid","normal-uniform",-6175.18021351075,"MLG014"
4599.23292097575,"fixed_3","tetraploid","normal-uniform",-9169.80788395627,"MLG014"
4400.58655001526,"fixed_3","pentaploid","normal-uniform",-8762.9624893702,"MLG014"
3373.8100148803,"fixed_3","hexaploid","normal-uniform",-6699.8567664352,"MLG014"
-19062.257971378,"fixed","diploid","beta",38124.5159427559,"MLG014"
3212.74479419326,"fixed","triploid","beta",-6406.38428305637,"MLG014"
3550.88281549142,"fixed","tetraploid","beta",-7073.1076729876,"MLG014"
1945.10339655309,"fixed","pentaploid","beta",-3851.99618244586,"MLG014"
3185.53287342534,"fixed","hexaploid","beta",-6323.30248352529,"MLG014"
2191.00025010941,"fixed_2","diploid","beta",-4362.89519488866,"MLG014"
3509.07021384813,"fixed_2","triploid","beta",-6979.92981703594,"MLG014"
4548.30837569864,"fixed_2","tetraploid","beta",-9039.3008354068,"MLG014"
4577.66102286288,"fixed_2","pentaploid","beta",-9078.90082440513,"MLG014"
4366.63379302281,"fixed_2","hexaploid","beta",-8637.74105939484,"MLG014"
2191.00025010941,"fixed_3","diploid","beta",-4372.44784755374,"MLG014"
3509.07021384813,"fixed_3","triploid","beta",-6999.0351223661,"MLG014"
4389.47911989883,"fixed_3","tetraploid","beta",-8750.30028180243,"MLG014"
4414.6557932183,"fixed_3","pentaploid","beta",-8791.10097577628,"MLG014"
3219.01628071068,"fixed_3","hexaploid","beta",-6390.26929809597,"MLG014"
4443.07913903899,"fixed","diploid","beta-uniform",-8867.05297274782,"MLG014"
4923.2129753611,"fixed","triploid","beta-uniform",-9817.76799272697,"MLG014"
4923.50308931874,"fixed","tetraploid","beta-uniform",-9808.79556797715,"MLG014"
4793.79387672682,"fixed","pentaploid","beta-uniform",-9539.82449012825,"MLG014"
4924.66497667182,"fixed","hexaploid","beta-uniform",-9792.01403735317,"MLG014"
4800.83908306443,"fixed_2","diploid","beta-uniform",-9573.02020813362,"MLG014"
