"BICdif","winnerBIC","secondBIC","Distribution","Type","sample"
-434996.23875133,"tetraploid","triploid","normal","fixed","MLG015"
-116.3364194117,"tetraploid","triploid","normal","fixed_2","MLG015"
-433.119201063329,"triploid","tetraploid","normal","fixed_3","MLG015"
-78.6550603466303,"triploid","diploid","normal-uniform","fixed","MLG015"
-114768.479059309,"tetraploid","diploid","normal-uniform","fixed_2","MLG015"
-322.69240014834,"triploid","tetraploid","normal-uniform","fixed_3","MLG015"
-1744.8171181752,"triploid","tetraploid","beta","fixed","MLG015"
-4.82848358910996,"tetraploid","triploid","beta","fixed_2","MLG015"
-657.29651145925,"triploid","tetraploid","beta","fixed_3","MLG015"
-276.46812975428,"triploid","tetraploid","beta-uniform","fixed","MLG015"
-327.55339725964,"triploid","tetraploid","beta-uniform","fixed_2","MLG015"
-504.09605159482,"triploid","tetraploid","beta-uniform","fixed_3","MLG015"
-2381.82474713669,"triploid","tetraploid","beta-binomial","fixed","MLG015"
-827.544465900501,"triploid","tetraploid","beta-binomial","fixed_2","MLG015"
-1627.8690081775,"triploid","tetraploid","beta-binomial","fixed_3","MLG015"
-2381.7649593583,"triploid","tetraploid","beta-binomial-uniform","fixed","MLG015"
-827.380308674095,"triploid","tetraploid","beta-binomial-uniform","fixed_2","MLG015"
-1411.66546604781,"triploid","tetraploid","beta-binomial-uniform","fixed_3","MLG015"
