"LL","type","mixture","distribution","BIC","sample"
-2188700.2003133,"fixed","diploid","normal",4377409.67130919,"MLG015"
-456003.4377223,"fixed","triploid","normal",912025.416809802,"MLG015"
-238500.683005335,"fixed","tetraploid","normal",477029.178058472,"MLG015"
-143387.596410163,"fixed","pentaploid","normal",286812.27555073,"MLG015"
-84936.06215091,"fixed","hexaploid","normal",169918.477714825,"MLG015"
1770.94641986618,"fixed_2","diploid","normal",-3523.35147453039,"MLG015"
3049.1156732851,"fixed_2","triploid","normal",-6061.14861616626,"MLG015"
3116.55456559193,"fixed_2","tetraploid","normal",-6177.48503557796,"MLG015"
2830.66517975026,"fixed_2","pentaploid","normal",-5587.16489869266,"MLG015"
3551.48277647388,"fixed_2","hexaploid","normal",-7010.25872693793,"MLG015"
1770.94641986618,"fixed_3","diploid","normal",-3532.62215713138,"MLG015"
3047.77964923565,"fixed_3","triploid","normal",-6077.01793326934,"MLG015"
2835.85539000448,"fixed_3","tetraploid","normal",-5643.89873220601,"MLG015"
2352.77911657138,"fixed_3","pentaploid","normal",-4668.47550273883,"MLG015"
2306.47679911223,"fixed_3","hexaploid","normal",-4566.60018521955,"MLG015"
3788.59004198529,"fixed","diploid","normal-uniform",-7558.63871876862,"MLG015"
3832.5529134591,"fixed","triploid","normal-uniform",-7637.29377911525,"MLG015"
3788.58894699763,"fixed","tetraploid","normal-uniform",-7540.09516359133,"MLG015"
3797.8086407724,"fixed","pentaploid","normal-uniform",-7549.26386853989,"MLG015"
3832.5386727854,"fixed","hexaploid","normal-uniform",-7609.4532499649,"MLG015"
10066.7895931956,"fixed_2","diploid","normal-uniform",-20105.7671385883,"MLG015"
3929.24565038473,"fixed_2","triploid","normal-uniform",-7812.13788776454,"MLG015"
67469.570488052,"fixed_2","tetraploid","normal-uniform",-134874.246197897,"MLG015"
32943.125150479,"fixed_2","pentaploid","normal-uniform",-65802.8141575493,"MLG015"
5055.2296207695,"fixed_2","hexaploid","normal-uniform",-10008.4817329282,"MLG015"
2103.28291650381,"fixed_3","diploid","normal-uniform",-4197.29515040664,"MLG015"
3222.80526450132,"fixed_3","triploid","normal-uniform",-6427.06916380068,"MLG015"
3066.09440572764,"fixed_3","tetraploid","normal-uniform",-6104.37676365234,"MLG015"
2522.81540642011,"fixed_3","pentaploid","normal-uniform",-5008.5480824363,"MLG015"
2502.90011897401,"fixed_3","hexaploid","normal-uniform",-4959.44682494312,"MLG015"
-8976.21327475548,"fixed","diploid","beta",17952.426549511,"MLG015"
3274.6334301953,"fixed","triploid","beta",-6530.72549518864,"MLG015"
2406.86021240819,"fixed","tetraploid","beta",-4785.90837701344,"MLG015"
1977.44439620805,"fixed","pentaploid","beta",-3917.80606201218,"MLG015"
3230.34651285402,"fixed","hexaploid","beta",-6414.33961270312,"MLG015"
2458.03883927898,"fixed_2","diploid","beta",-4897.53631335599,"MLG015"
3274.63343019529,"fixed_2","triploid","beta",-6512.18412998666,"MLG015"
