"LL","type","mixture","distribution","BIC","sample"
-447782.128752884,"fixed","diploid","normal",895571.697652449,"J432"
-162687.198509113,"fixed","triploid","normal",325389.277311587,"J432"
-68442.8197648201,"fixed","tetraploid","normal",136907.959969682,"J432"
-47550.9457623235,"fixed","pentaploid","normal",95131.6521113696,"J432"
-31263.3064509725,"fixed","hexaploid","normal",62563.8136353484,"J432"
-447782.128752884,"fixed_2","diploid","normal",895579.137799129,"J432"
4.36493422550171,"fixed_2","triploid","normal",21.0307182716473,"J432"
56.4664865863266,"fixed_2","tetraploid","normal",-68.292093088677,"J432"
26.387046852868,"fixed_2","pentaploid","normal",6.74707973956559,"J432"
58.5187917272542,"fixed_2","hexaploid","normal",-42.6361166478816,"J432"
-447782.128752884,"fixed_3","diploid","normal",895571.697652449,"J432"
4.25376954046168,"fixed_3","triploid","normal",6.37275428040202,"J432"
6.13894004911189,"fixed_3","tetraploid","normal",10.0425599437643,"J432"
23.4884970891026,"fixed_3","pentaploid","normal",-17.2164074555545,"J432"
54.8049995772475,"fixed_3","hexaploid","normal",-72.4092657511816,"J432"
35.800517673493,"fixed","diploid","normal-uniform",-56.7207419856606,"J432"
10.9943033367011,"fixed","triploid","normal-uniform",0.331833368585951,"J432"
81.6941560936079,"fixed","tetraploid","normal-uniform",-133.627725464565,"J432"
13.7228191751378,"fixed","pentaploid","normal-uniform",9.75509505303793,"J432"
35.807758108914,"fixed","hexaploid","normal-uniform",-26.974636133852,"J432"
51.628634020869,"fixed_2","diploid","normal-uniform",-80.93682799975,"J432"
94.8029922685349,"fixed_2","triploid","normal-uniform",-152.405251133756,"J432"
197.069850890317,"fixed_2","tetraploid","normal-uniform",-342.058675015996,"J432"
113.816159304817,"fixed_2","pentaploid","normal-uniform",-160.670998483669,"J432"
125.321621471242,"fixed_2","hexaploid","normal-uniform",-168.801629455195,"J432"
-4.33158635670944,"fixed_3","diploid","normal-uniform",16.1033193940816,"J432"
39.7529428486668,"fixed_3","triploid","normal-uniform",-64.6255923360082,"J432"
76.2824163248779,"fixed_3","tetraploid","normal-uniform",-130.244392607768,"J432"
46.0932831575546,"fixed_3","pentaploid","normal-uniform",-62.4259795924585,"J432"
71.9621487356157,"fixed_3","hexaploid","normal-uniform",-106.723564067918,"J432"
-6075.53608686296,"fixed","diploid","beta",12151.0721737259,"J432"
-1588.8415377436,"fixed","triploid","beta",3192.56336884853,"J432"
-535.697326665552,"fixed","tetraploid","beta",1093.71509337309,"J432"
-210.035001140871,"fixed","pentaploid","beta",449.830589004393,"J432"
-35.0302242248883,"fixed","hexaploid","beta",107.26118185309,"J432"
32.376087149083,"fixed_2","diploid","beta",-49.8718809368406,"J432"
26.5739716057168,"fixed_2","triploid","beta",-23.3873564887829,"J432"
105.487887741509,"fixed_2","tetraploid","beta",-166.334895399042,"J432"
109.34605151673,"fixed_2","pentaploid","beta",-159.170929588158,"J432"
171.048937892669,"fixed_2","hexaploid","beta",-267.69640897871,"J432"
32.376087149083,"fixed_3","diploid","beta",-57.3120276175033,"J432"
26.538312406583,"fixed_3","triploid","beta",-38.1963314518405,"J432"
24.3839058692218,"fixed_3","tetraploid","beta",-26.4473716964556,"J432"
56.1037497692144,"fixed_3","pentaploid","beta",-82.4469128157781,"J432"
106.273395638081,"fixed_3","hexaploid","beta",-175.346057872848,"J432"
42.2305388913081,"fixed","diploid","beta-uniform",-69.5807844212908,"J432"
104.607872538157,"fixed","triploid","beta-uniform",-186.895305034325,"J432"
95.5845582993804,"fixed","tetraploid","beta-uniform",-161.40852987611,"J432"
65.4745973129182,"fixed","pentaploid","beta-uniform",-93.7484612225229,"J432"
58.8900802920913,"fixed","hexaploid","beta-uniform",-73.1392805002065,"J432"
91.9014959375411,"fixed_2","diploid","beta-uniform",-161.482551833094,"J432"
110.742690435678,"fixed_2","triploid","beta-uniform",-184.284647468043,"J432"
197.717694016645,"fixed_2","tetraploid","beta-uniform",-343.354361268651,"J432"
115.406956220238,"fixed_2","pentaploid","beta-uniform",-163.852592314512,"J432"
171.026969425731,"fixed_2","hexaploid","beta-uniform",-260.212325364173,"J432"
45.6643731630708,"fixed_3","diploid","beta-uniform",-83.8885996454789,"J432"
30.2053594917949,"fixed_3","triploid","beta-uniform",-45.5304256222644,"J432"
33.1888312685648,"fixed_3","tetraploid","beta-uniform",-44.0572224951416,"J432"
53.8758157774985,"fixed_3","pentaploid","beta-uniform",-77.9910448323462,"J432"
