"V1","V2"
192,138
185,134
145,105
90,70
46,15
46,35
17,7
12,6
19,15
47,11
38,15
1047,220
267,104
78,39
272,78
256,183
380,284
12,8
12,8
20,17
65,41
84,70
622,444
878,500
886,506
907,710
765,592
764,173
724,198
64,21
13,2
105,22
679,540
198,42
11,4
29,21
30,22
23,7
23,5
172,45
1025,293
1053,500
12,2
748,410
776,213
69,20
10,6
25,21
16,4
10,8
17,13
31,23
22,14
68,19
294,224
45,38
41,31
17,14
27,20
1001,155
130,29
11,4
11,7
16,3
122,21
239,60
23,5
12,3
516,125
178,125
47,19
44,37
12,10
12,8
11,2
29,20
315,220
326,240
15,4
20,3
20,3
18,3
13,10
10,4
233,184
128,94
92,67
36,15
192,137
204,62
403,89
349,270
133,101
32,11
31,18
33,10
361,286
504,362
625,453
797,224
1127,325
1103,194
1088,911
535,373
88,19
83,19
56,12
55,36
48,34
45,31
38,32
17,5
17,5
19,14
15,4
14,11
11,8
11,8
103,22
22,5
36,27
36,9
36,27
250,182
345,262
410,90
39,22
22,16
10,6
10,4
10,4
10,6
10,4
10,6
10,5
94,37
31,14
13,11
10,3
672,492
33,28
12,2
12,2
12,10
19,12
25,18
10,3
18,6
26,15
12,2
48,30
483,93
41,32
341,68
39,27
25,4
34,10
23,8
35,19
22,12
11,8
10,7
25,12
62,19
167,47
109,92
17,10
18,7
191,134
199,146
15,4
35,6
22,13
410,82
821,585
536,99
469,348
325,89
38,8
38,6
38,6
38,30
38,30
37,23
37,6
205,31
17,14
19,14
14,10
13,4
10,7
10,3
10,7
11,4
16,8
18,5
14,5
13,6
27,15
353,270
448,349
31,8
13,11
44,35
45,24
60,47
15,6
307,86
61,14
56,9
153,41
184,74
243,204
301,252
234,40
16,3
61,45
132,33
804,675
1262,370
10,8
10,8
12,4
31,6
79,55
18,15
21,17
21,4
20,17
20,3
12,4
268,56
94,62
28,11
23,16
13,11
13,2
33,27
30,22
29,23
27,11
172,62
11,5
479,94
651,140
691,166
558,126
262,215
15,11
16,10
10,8
14,10
14,4
14,10
13,5
13,5
13,8
13,8
13,8
29,16
43,22
158,132
10,2
15,8
24,17
288,126
598,418
105,85
10,8
10,2
10,2
10,8
10,2
16,10
14,9
17,5
17,5
17,5
13,11
13,2
16,13
62,21
85,62
80,62
64,48
14,8
36,19
108,72
72,26
201,93
1315,683
1209,280
1204,919
1247,930
875,444
819,415
621,300
898,460
419,324
274,86
152,70
114,83
42,16
24,17
10,6
59,30
60,29
13,10
18,15
30,15
179,145
311,86
253,76
505,152
93,17
828,229
770,374
801,647
47,31
13,7
10,8
55,26
13,4
38,29
66,48
60,42
39,14
20,6
18,4
28,5
57,44
51,42
49,8
49,39
49,41
47,39
30,25
14,11
27,20
55,38
79,29
279,68
619,472
924,198
930,701
783,614
711,158
516,104
513,113
514,107
553,438
653,103
369,286
208,154
144,48
65,52
42,31
68,53
679,164
22,15
41,9
78,53
220,148
425,91
484,391
593,495
222,169
23,5
117,72
187,109
116,49
110,50
19,13
14,4
69,20
31,23
414,218
427,279
327,162
332,159
256,138
207,93
127,74
127,53
50,33
13,11
12,10
15,3
15,4
10,8
55,36
54,37
12,8
11,5
11,6
24,12
41,21
44,11
20,12
10,2
12,5
13,11
14,8
18,4
18,8
34,28
38,29
23,10
18,4
18,6
14,4
12,8
10,6
737,197
443,78
15,11
10,6
10,4
10,4
10,8
10,6
12,10
45,22
21,7
306,235
341,66
833,641
791,627
696,546
213,50
121,20
70,29
15,12
10,3
36,8
40,30
46,14
22,6
28,16
37,9
50,20
52,12
54,16
22,13
18,7
20,16
20,9
38,8
38,30
25,18
26,7
26,6
24,4
24,4
22,4
25,20
25,20
25,20
14,8
61,17
87,18
632,469
383,279
195,39
57,9
14,4
12,2
12,10
25,17
38,25
56,13
812,205
737,160
735,575
89,34
22,8
23,15
60,10
275,69
30,8
17,13
13,5
285,90
343,74
377,96
392,291
1285,959
1299,312
497,90
65,18
48,18
45,18
32,6
114,93
176,141
39,27
499,89
235,105
209,111
206,120
20,6
47,14
57,38
18,14
21,16
458,233
81,56
40,32
263,136
122,47
37,21
12,7
10,3
11,8
59,19
127,74
26,15
94,38
859,699
48,22
144,73
244,71
14,7
14,7
10,3
15,3
15,3
16,3
18,3
61,25
64,52
131,77
219,143
552,389
659,463
862,250
841,688
136,105
90,69
25,21
14,9
44,8
578,481
535,444
487,410
123,36
20,4
12,5
688,302
21,15
28,22
48,40
49,8
29,12
152,32
805,623
816,201
40,21
12,5
35,28
35,29
29,15
18,4
10,4
10,6
20,6
49,10
28,18
74,27
40,18
11,5
11,8
192,160
560,363
549,183
386,171
331,267
225,174
189,50
10,8
27,21
19,10
25,21
46,18
182,138
131,96
69,53
17,4
11,4
12,4
36,24
36,24
15,11
816,613
270,140
41,20
110,25
124,88
186,93
243,122
31,19
118,98
409,293
187,100
192,96
267,144
264,48
211,66
55,44
162,54
342,193
96,50
317,152
237,168
10,5
38,32
11,6
12,4
10,4
135,42
47,9
219,92
973,228
671,496
677,495
659,467
118,86
287,220
479,113
476,111
310,69
191,152
180,38
71,56
12,10
12,3
32,16
34,18
34,17
11,6
11,6
67,17
75,57
243,54
185,89
185,142
183,80
12,9
11,8
10,6
10,2
24,12
60,49
12,5
54,44
96,80
90,60
73,11
49,33
28,8
24,5
24,8
24,8
13,4
228,47
632,153
23,6
23,17
23,8
13,10
12,2
13,2
13,11
10,8
26,14
22,8
15,4
10,8
47,35
56,15
60,41
73,22
221,169
183,38
170,138
159,131
89,28
22,10
10,4
12,6
24,7
32,12
56,41
67,48
27,7
20,15
59,27
98,20
258,79
272,54
476,144
507,351
888,214
932,402
872,493
727,216
601,161
609,461
734,167
353,278
310,70
76,15
32,9
32,18
201,168
191,33
132,105
94,79
90,15
82,15
73,60
54,45
33,28
23,18
23,5
20,5
15,10
10,3
10,3
10,7
10,3
10,7
13,11
13,2
13,4
13,4
10,4
26,18
20,11
13,5
36,10
147,56
163,102
256,91
266,144
295,243
600,226
716,475
955,249
417,115
313,79
308,157
303,149
68,53
48,12
25,21
21,12
32,15
46,21
71,13
218,173
89,72
825,381
1205,911
25,11
14,6
14,7
20,3
30,9
28,11
24,14
77,54
167,53
219,36
37,9
35,26
357,280
278,57
23,19
21,17
129,49
10,8
11,8
16,10
268,146
18,4
15,3
11,9
12,2
12,10
38,30
46,8
61,12
61,12
59,45
111,90
342,61
121,71
11,3
15,7
14,7
14,7
24,13
11,4
50,8
39,31
24,5
18,13
18,14
19,3
14,4
13,5
13,5
13,5
22,17
19,16
12,8
16,8
21,11
24,12
16,6
37,31
11,9
11,9
58,26
34,25
14,4
179,116
567,308
425,200
21,10
123,70
418,334
414,86
311,245
235,50
120,24
24,19
23,5
15,11
15,11
42,8
42,19
48,29
48,37
51,43
59,21
59,13
53,10
19,15
12,9
950,707
924,208
19,3
674,336
738,162
31,6
13,6
199,149
328,86
511,363
536,394
648,305
553,135
288,204
11,9
22,12
10,8
10,8
10,2
10,2
10,8
10,2
25,14
17,9
21,6
28,6
28,22
28,22
28,22
19,6
19,13
11,7
12,6
14,6
110,84
25,7
11,8
94,23
117,84
192,54
255,65
357,105
464,108
570,148
403,197
357,82
216,108
189,47
180,128
48,28
32,8
27,6
21,17
10,2
122,29
47,32
12,10
20,13
39,31
40,13
42,15
46,19
274,169
361,242
580,143
247,179
24,14
10,6
11,6
11,6
10,3
45,10
798,187
165,136
13,2
121,24
180,62
92,73
20,13
62,31
47,21
23,15
34,26
34,24
34,20
361,254
14,11
51,34
15,7
25,19
39,21
48,21
99,44
237,135
1077,554
1753,1351
238,200
16,7
16,12
11,7
11,2
50,17
74,29
678,322
2004,990
1314,353
379,266
305,62
290,237
271,116
237,120
531,286
63,31
138,91
34,15
1362,1038
197,159
15,9
22,4
22,18
52,42
30,24
164,135
599,427
205,120
10,3
20,11
20,12
16,8
10,6
20,12
11,7
17,7
157,24
183,33
334,75
440,155
1225,259
1349,1026
1126,854
932,741
293,215
209,58
135,59
39,22
33,18
33,9
28,9
27,21
22,4
22,4
28,22
47,9
90,23
138,74
353,78
10,4
10,2
10,2
633,108
1083,260
786,598
15,5
137,73
468,327
39,12
71,27
187,144
189,44
177,39
15,5
41,29
41,29
39,10
39,29
27,17
27,17
18,10
18,10
12,10
12,4
12,4
11,2
55,40
63,43
149,42
163,43
169,45
119,23
12,2
10,5
25,20
11,6
13,5
13,7
487,390
248,50
173,146
678,532
35,29
26,20
26,22
26,22
26,22
24,6
19,6
17,4
152,81
279,220
561,129
563,424
572,257
538,410
346,255
78,13
46,34
15,8
95,79
96,17
373,309
579,123
482,373
435,113
421,93
23,6
15,5
13,2
566,126
1600,369
1116,862
1049,509
898,241
267,55
237,80
58,35
21,9
13,4
21,14
42,27
786,589
23,5
13,10
10,3
142,107
147,46
845,238
1035,525
63,19
13,7
25,18
65,20
118,29
500,116
849,236
481,366
786,605
856,655
17,8
20,11
21,9
18,4
16,12
13,7
263,42
62,51
660,166
50,36
391,77
12,10
12,2
40,34
81,22
206,160
17,5
11,2
121,98
215,138
209,69
51,14
305,47
207,57
119,84
45,35
39,7
113,34
122,34
119,33
82,67
69,49
72,60
134,88
151,47
187,50
182,121
199,135
184,132
182,112
127,88
34,16
10,8
139,109
162,121
284,70
435,322
478,124
697,533
426,94
259,212
93,69
12,2
306,66
400,85
608,482
605,477
25,12
21,13
141,45
15,10
12,4
36,6
24,12
33,8
33,18
33,16
35,19
35,19
19,11
16,8
13,10
21,14
19,13
30,24
34,27
52,9
54,13
77,60
86,58
127,33
109,82
109,30
38,19
200,37
209,56
318,181
331,251
380,156
420,251
452,358
20,5
20,5
210,46
148,26
28,13
55,10
546,291
498,263
179,96
120,65
82,46
49,15
168,79
780,397
94,43
18,13
10,2
15,12
13,10
39,11
57,39
48,10
39,7
11,9
19,16
24,4
29,24
53,8
83,13
134,78
135,34
216,168
218,177
370,282
629,161
754,207
490,334
620,116
620,470
572,226
572,346
599,492
581,119
558,456
30,10
22,16
10,2
16,11
28,6
57,12
76,42
227,178
377,95
386,99
392,85
435,94
435,339
347,60
321,268
320,53
319,266
60,10
19,15
37,11
12,10
16,9
16,7
87,38
119,56
227,114
216,113
191,51
52,14
61,45
67,48
20,11
10,7
63,48
79,65
241,82
540,454
911,174
39,6
25,11
20,3
59,26
14,10
11,7
10,3
18,3
33,7
31,24
24,13
29,22
44,23
24,13
21,15
21,7
284,132
313,151
94,34
298,63
372,297
414,88
417,88
892,703
725,200
675,191
530,422
507,362
209,38
209,171
129,100
976,509
545,383
12,9
22,10
33,13
50,15
98,29
120,20
141,38
121,79
117,94
29,21
430,157
195,43
171,130
166,36
11,5
51,19
65,24
255,78
230,70
53,11
16,11
63,11
51,38
24,6
13,11
20,15
21,14
501,143
666,480
611,174
578,165
403,253
419,266
392,224
404,234
402,140
408,241
381,269
337,107
629,516
805,582
790,569
1025,250
604,446
313,73
680,554
804,436
1085,258
257,83
257,174
193,123
15,9
523,121
433,321
358,86
236,159
12,2
12,2
12,4
10,6
18,7
29,15
29,14
29,14
47,20
47,27
48,21
52,25
64,34
64,33
64,33
64,33
64,45
64,33
64,33
12,10
12,9
15,12
1060,768
953,279
881,632
477,326
381,168
276,172
73,16
242,41
114,83
73,56
21,4
21,17
20,4
20,16
10,6
17,9
13,6
45,15
19,3
71,40
63,33
65,35
62,33
44,18
10,8
31,20
27,16
14,7
31,17
