"V1","V2"
86,28
86,28
86,58
116,88
146,92
101,28
80,64
80,64
80,16
75,47
133,97
145,107
736,608
600,359
352,250
354,175
354,182
354,175
1154,632
1146,918
569,162
101,82
26,6
26,20
12,2
793,261
16,9
18,9
25,20
49,33
12,2
53,10
109,59
248,98
291,150
408,150
430,75
70,12
22,12
22,12
22,10
558,174
25,17
294,219
40,24
65,29
206,174
117,97
23,15
21,8
18,4
466,194
745,599
963,294
1505,1172
216,181
216,35
216,35
216,181
216,181
226,178
222,173
222,79
222,79
205,133
205,132
212,132
184,52
98,54
16,4
15,3
15,9
60,24
64,36
64,36
64,36
148,116
246,179
55,13
18,5
28,5
12,5
11,5
204,98
204,80
156,80
90,56
362,60
79,17
180,79
10,2
16,4
83,60
380,186
813,623
13,2
36,17
43,33
29,16
23,10
20,10
86,26
22,10
197,68
26,22
26,22
20,4
16,12
389,228
224,76
116,42
213,143
10,4
155,131
46,24
46,38
10,4
15,9
15,9
12,6
28,20
29,21
398,178
236,113
291,181
129,52
183,127
798,350
1198,936
428,104
367,104
243,128
12,4
12,4
11,4
16,10
28,14
13,11
17,4
27,14
31,15
28,12
31,16
36,16
30,18
23,4
17,8
13,8
12,4
12,8
12,4
12,8
12,8
12,4
116,91
253,53
252,163
231,88
49,21
82,16
25,12
31,11
14,5
198,135
261,152
26,11
26,18
297,211
535,449
667,138
884,688
73,53
59,36
59,36
947,277
791,166
106,66
106,66
58,42
58,41
118,80
25,19
30,10
30,24
13,11
911,205
1001,566
942,321
537,354
231,123
179,71
78,66
51,43
50,9
131,36
271,72
391,72
393,321
445,371
180,97
518,184
627,532
291,223
158,104
104,59
53,20
20,17
35,8
54,9
54,20
24,16
24,16
24,8
24,16
24,8
24,16
16,8
16,8
237,135
955,398
1567,356
1649,797
1552,697
481,234
431,184
230,184
512,378
529,445
517,84
211,95
197,32
164,130
164,34
102,68
58,24
629,400
293,201
56,42
56,42
143,80
301,111
323,111
280,136
296,93
341,107
18,4
18,3
422,190
372,130
121,67
12,3
12,3
29,23
29,23
11,6
31,12
50,14
22,8
32,14
32,22
24,6
11,4
11,7
17,4
11,9
69,35
71,34
80,19
72,27
50,8
45,37
13,9
28,10
30,5
29,10
11,6
13,10
253,140
326,148
381,185
272,65
311,173
31,23
13,10
13,10
35,6
35,6
46,39
956,808
21,14
15,8
407,322
1092,823
73,12
560,452
554,208
218,126
122,20
81,68
402,283
336,281
20,4
111,61
757,151
108,73
124,61
135,72
110,35
34,12
29,12
36,12
216,179
294,207
364,244
316,126
257,67
148,75
148,73
145,73
22,14
30,16
81,65
190,80
190,80
322,155
533,350
76,56
138,73
138,98
263,68
263,195
268,179
344,72
130,101
33,25
293,118
10,5
26,13
24,13
21,13
19,8
71,39
144,113
166,53
561,418
26,16
459,86
459,193
10,6
12,10
855,383
12,10
12,4
44,23
45,21
41,16
22,4
18,14
356,116
26,12
21,6
21,4
23,10
10,2
10,8
10,2
142,48
201,74
465,172
325,219
460,314
621,415
621,106
1153,183
903,358
67,24
67,43
67,24
67,43
44,27
85,58
91,36
57,16
25,19
512,79
512,432
774,282
817,147
116,48
164,68
290,68
437,115
245,37
319,72
165,115
340,145
342,97
140,119
68,47
50,17
362,114
275,178
48,32
51,22
43,19
42,28
10,8
173,136
669,116
753,169
973,807
236,159
404,218
11,6
20,16
22,12
16,9
20,13
16,9
13,11
13,7
13,6
22,4
18,4
178,28
240,73
316,58
309,49
246,48
188,157
192,148
286,90
181,54
213,55
128,82
89,70
89,45
10,8
25,15
17,6
38,11
23,17
17,7
25,4
10,6
10,4
10,6
10,6
10,4
10,6
14,8
389,149
717,211
399,270
112,84
96,62
96,34
79,22
21,17
98,53
178,53
559,213
225,183
599,441
152,34
96,62
30,24
34,6
28,16
30,24
254,181
252,58
252,179
250,73
1371,920
859,152
859,152
25,9
18,14
22,8
10,4
22,4
727,331
1020,439
526,241
809,134
1849,576
481,139
560,360
643,364
682,403
418,260
431,352
668,421
821,310
821,605
31,6
215,165
331,116
12,4
12,2
41,8
41,8
58,32
81,20
89,28
147,120
55,36
42,12
24,12
12,4
13,9
23,15
26,8
26,8
10,2
464,184
38,6
71,60
180,56
157,88
101,71
88,24
30,24
31,19
33,21
11,3
21,16
20,17
20,3
20,3
12,9
12,3
12,9
17,3
12,6
103,30
40,24
12,10
37,31
36,21
12,10
15,4
25,9
54,18
12,10
12,2
623,133
271,181
432,322
449,114
454,80
75,23
73,53
116,74
116,83
49,36
40,11
391,149
42,24
510,117
465,192
287,91
146,73
10,8
10,2
10,8
10,8
10,8
10,8
10,2
10,2
10,2
28,16
617,220
169,32
824,566
471,128
13,9
58,34
58,34
28,13
136,64
378,128
369,191
280,158
265,172
150,33
73,61
71,50
71,13
59,50
59,48
1004,467
250,175
484,404
424,72
48,22
50,28
77,32
30,25
31,15
10,8
10,8
10,2
10,2
10,2
10,2
576,472
18,9
10,6
14,10
10,4
156,105
683,337
1097,750
1149,267
19,13
19,15
157,62
742,113
410,77
295,69
295,69
83,63
567,160
639,478
1096,358
661,176
168,28
2867,1936
2002,1405
58,10
344,180
733,150
39,24
15,7
18,8
26,8
40,7
39,25
37,29
37,8
37,29
37,8
37,8
37,29
37,29
37,31
13,5
38,6
15,4
200,140
10,2
10,8
10,2
10,2
90,32
110,78
367,283
556,345
840,323
854,464
204,122
143,61
75,14
10,6
10,4
39,8
423,134
10,8
890,180
264,197
252,185
137,70
19,4
16,11
16,8
36,10
29,14
49,15
53,15
68,38
68,36
152,30
138,50
16,6
16,8
24,7
111,71
87,60
35,11
40,24
28,23
28,11
28,11
28,5
28,16
28,12
28,16
28,17
42,8
33,23
10,4
16,4
132,89
303,47
347,58
274,92
350,92
350,170
744,120
660,169
651,106
151,92
40,24
42,26
42,26
42,26
224,104
424,233
160,94
158,117
82,41
87,48
763,602
871,697
894,632
61,37
96,35
117,79
117,38
464,83
157,48
248,139
361,223
501,371
804,671
535,150
279,125
50,9
98,34
213,171
213,42
65,53
258,44
630,456
40,32
265,45
263,94
1620,367
759,126
21,14
683,435
31,15
31,7
31,15
46,36
46,16
46,30
46,16
46,30
41,16
30,14
27,11
24,17
11,4
665,394
664,270
202,170
1070,197
811,555
10,7
799,330
12,8
12,2
12,2
12,10
83,46
158,37
357,74
379,302
379,193
401,70
410,145
409,334
409,171
409,123
284,75
259,75
376,199
332,133
349,133
349,133
349,133
378,254
357,254
339,86
76,49
485,98
167,44
167,123
167,123
154,110
154,110
154,44
154,44
378,311
370,74
10,6
10,6
10,6
23,12
53,43
53,10
53,10
53,10
53,10
617,146
574,344
479,167
362,224
