"V1","V2"
28,15
26,13
44,8
45,31
56,17
648,201
147,53
45,28
151,113
235,63
11,3
11,9
23,13
27,15
67,40
544,361
570,402
525,136
506,315
32,24
10,6
10,4
84,45
437,277
25,4
287,88
106,67
531,364
499,157
594,220
18,3
12,8
28,9
12,6
12,6
33,11
23,11
214,75
25,8
14,5
103,82
70,38
19,14
22,8
313,74
29,19
29,9
16,6
10,4
21,10
235,78
259,58
131,45
353,100
41,9
11,2
133,89
143,47
291,82
228,160
122,90
11,2
227,40
403,266
475,149
685,198
994,763
867,142
52,37
33,9
33,17
31,14
29,16
22,4
11,8
10,7
13,2
11,9
11,3
10,7
12,5
146,43
205,54
232,171
231,57
57,39
54,14
31,25
76,58
21,13
13,3
13,7
13,8
22,8
17,10
19,15
11,7
225,64
11,9
12,3
21,7
17,12
14,5
10,5
35,18
78,49
89,66
51,13
86,38
88,40
91,44
75,37
71,54
264,79
466,124
538,277
567,127
377,215
180,52
13,6
10,6
10,3
41,31
130,91
304,91
17,8
13,4
12,2
12,3
10,2
10,2
10,2
10,2
10,8
34,27
34,27
64,35
102,54
805,382
1241,666
1246,885
14,10
70,39
12,8
12,8
12,4
11,3
11,8
11,8
486,328
49,31
18,4
19,4
18,9
16,12
432,367
134,88
147,53
195,116
242,182
345,225
322,83
449,303
427,141
313,97
53,8
32,9
85,28
17,6
10,2
18,14
189,54
344,230
59,36
10,7
11,2
13,11
13,10
139,85
148,57
956,609
792,244
774,496
669,497
663,176
568,148
455,149
592,375
634,225
350,232
97,41
10,6
10,7
10,4
10,8
16,10
116,38
17,6
126,44
49,21
491,162
31,17
20,13
17,8
10,4
34,17
70,37
202,119
301,167
325,189
369,224
341,221
136,47
46,13
66,50
119,68
147,56
66,31
23,8
209,77
15,5
16,13
14,10
14,10
14,4
36,14
28,8
16,10
39,33
12,10
12,6
10,6
34,25
42,32
387,124
302,217
18,13
36,22
32,10
580,220
67,23
17,14
348,107
399,266
290,95
256,76
140,58
33,22
26,6
20,14
15,11
30,5
